date,SA,IA,RA,SC,IC,RC
2024-01-01,3499999.0,0.9999999999999999,0.0,1499999.0,1.0,0.0
2024-01-02,3499671.1193499705,315.4495404002942,13.431109628237818,1499604.8734522704,379.1160566348488,16.01049109445205
2024-01-03,3387242.1780629824,108054.33220819623,4703.48972882096,1368623.4251097941,125795.25712735232,5581.317762852828
2024-01-04,586427.0377428498,2601759.6355757243,311813.3266814249,34583.85621710525,1255590.935842247,209825.20794064717
2024-01-05,18702.305900677773,2497857.7563818214,983439.9377175005,115.17506071821462,1005836.3804272518,494048.4445120295
2024-01-06,1115.6883040557127,1960025.7587505742,1538858.5529453687,1.232834877070249,783439.4187686489,716559.348396474
2024-01-07,123.58192375854892,1527306.4136324695,1972570.0044437703,0.035899255916087947,610144.2230625724,889855.7410381715
2024-01-08,22.263890651175576,1189553.6180257841,2310424.118083563,0.002285129270020447,475180.826815369,1024819.1708995013
2024-01-09,5.859787524664859,926439.3427388225,2573554.797473652,0.00026750614269779383,370071.20173815364,1129928.79799434
2024-01-10,2.0720201685933834,721514.9494041061,2778482.9785757237,5.0330143016402704e-05,288211.74191906647,1211788.2580306034
2024-01-11,0.9220918482086319,561917.4031390384,2938081.674769112,1.3702591152069269e-05,224459.53038225722,1275540.4696040403
2024-01-12,0.490831359095501,437622.08851273154,3062377.4206559076,4.974622854032633e-06,174809.25813821584,1325190.7418568092
2024-01-13,0.3003748065973897,340820.5914589999,3159179.1081661917,2.2596970906768598e-06,136141.58724644996,1363858.4127512902
2024-01-14,0.20491318360754615,265431.4275131444,3234568.36757367,1.2222196649394047e-06,106027.17501172378,1393972.8249870539
2024-01-15,0.152130332144296,206718.2504944996,3293281.597375166,7.573289229425358e-07,82574.04721511657,1417425.9527841262
2024-01-16,0.12063539638953436,160992.36400749412,3339007.5153571083,5.216738724099805e-07,64308.73305565574,1435691.2669438226
2024-01-17,0.10069724732276536,125380.99823020538,3374618.901072546,3.902317869537242e-07,50083.69229689162,1449916.307702718
2024-01-18,0.08748129501679491,97646.83379168117,3402353.0787270223,3.112679738606993e-07,39005.2198142018,1460994.7801854871
2024-01-19,0.078402273910874,76047.44237460781,3423952.479223117,2.6101502835601886e-07,30377.29724517445,1469622.7027545646
2024-01-20,0.07198933623983905,59225.81734212389,3440774.1106685386,2.2756797672091534e-07,23657.864494178248,1476342.1355055943
2024-01-21,0.06736058412136657,46125.12804276792,3453874.804596647,2.0451810798212512e-07,18424.767807882963,1481575.2321919126
2024-01-22,0.06396282634258582,35922.29736819215,3464077.6386689804,1.8819608567270728e-07,14349.227008723585,1485650.7729910882
2024-01-23,0.06143585287546811,27976.333420037427,3472023.6051441086,1.763925962740271e-07,11175.196372134991,1488824.8036276884
2024-01-24,0.05953717737739736,21788.005705074047,3478211.9347577477,1.677149917607441e-07,8703.25714211262,1491296.7428577193
2024-01-25,0.05809922358743524,16968.530070293007,3483031.411830482,1.61253637838113e-07,6778.108630724562,1493221.8913691137
2024-01-26,0.05700344455200089,13215.119667924142,3486784.82332863,1.563944486893097e-07,5278.801980578369,1494721.1980192647
2024-01-27,0.056164379063828276,10291.956288398043,3489707.987547221,1.5271170336451365e-07,4111.139112406072,1495888.8608874406
2024-01-28,0.05551947708776291,8015.392414900294,3491984.5520656207,1.4990374330036313e-07,3201.76164781362,1496798.2383520359
2024-01-29,0.05502235794673175,6242.400184227156,3493757.5447934135,1.477526948232166e-07,2493.5368182770662,1497506.4631815746
2024-01-30,0.05463828596001498,4861.591433718943,3495138.3539279937,1.4609885773042068e-07,1941.9704015795141,1498058.0295982736
2024-01-31,0.05434102750411349,3786.2152383890916,3496213.7304205825,1.4482367567027497e-07,1512.40957187945,1498487.590427975
2024-02-01,0.05411064261174314,2948.7105140816375,3497051.235375275,1.4383827510955764e-07,1177.8669248182532,1498822.133075037
2024-02-02,0.05393189510422189,2296.460424514393,3497703.48564359,1.4307548899234934e-07,917.3245661017809,1499082.6754337545
2024-02-03,0.053793095274447,1788.4869650820967,3498211.4592418224,1.424842324409752e-07,714.4137559033502,1499285.5862439533
2024-02-04,0.053685245231735124,1392.87653630134,3498607.069778453,1.4202545381105658e-07,556.386548754516,1499443.6134511025
2024-02-05,0.05360140121483087,1084.774498702449,3498915.171899896,1.4166917954480726e-07,433.31471434942284,1499566.685285508
2024-02-06,0.05353619405565377,844.8241274001291,3499155.1223364063,1.41392331646246e-07,337.466174775363,1499662.5338250822
2024-02-07,0.05348546554942416,657.9503664431762,3499341.9961480913,1.4117709675781526e-07,262.8191727565273,1499737.1808271015
2024-02-08,0.05344599140206227,512.412785986447,3499487.5337680224,1.41009698436631e-07,204.68397353367214,1499795.3160263244
2024-02-09,0.05341526905728258,399.0679072297222,3499600.8786775013,1.408794658675121e-07,159.408199132846,1499840.5918007253
2024-02-10,0.053391354676737855,310.7947317607709,3499689.1518768845,1.407781238419204e-07,124.14735496661628,1499875.8526448917
2024-02-11,0.05337273753253124,242.04743524702093,3499757.8991920156,1.406992489964265e-07,96.68615248984644,1499903.3138473684
2024-02-12,0.053358242964600136,188.50692220962048,3499811.4397195475,1.406378517399049e-07,75.2993221103829,1499924.7006777478
2024-02-13,0.05334695730033135,146.80949236636673,3499853.1371606765,1.4059005402533852e-07,58.643228466121606,1499941.3567713923
2024-02-14,0.05333816966105516,114.33547031177719,3499885.6111915186,1.4055284034482706e-07,45.671438172120475,1499954.3285616862
2024-02-15,0.053331326835837106,89.04464888498381,3499910.9020197885,1.4052386509303377e-07,35.56898738375705,1499964.4310124745
2024-02-16,0.05332599824010551,69.34811467079695,3499930.598559331,1.4050130325619648e-07,27.701182270673822,1499972.2988175878
2024-02-17,0.053321848689344704,54.00841989834793,3499945.938258253,1.4048373456837967e-07,21.573722511180492,1499978.4262773471
2024-02-18,0.053318617237246055,42.061844740598815,3499957.884836642,1.4047005357259464e-07,16.801648837145837,1499983.198351021
2024-02-19,0.05331610071281027,32.75783278196678,3499967.1888511167,1.4045939971428136e-07,13.085150431406968,1499986.9148494268
2024-02-20,0.053314140921721535,25.51185295940391,3499974.4348328994,1.404511030319004e-07,10.190735553487487,1499989.8092643048
2024-02-21,0.053312614683005834,19.868671579496603,3499980.078015805,1.4044464190129216e-07,7.936560488104408,1499992.0634393701
2024-02-22,0.053311426076063775,15.47375265932402,3499984.472935914,1.4043961016826028e-07,6.181005366374104,1499993.8189944918
2024-02-23,0.05331050040566831,12.050983612896282,3499987.895705886,1.4043569157252865e-07,4.813776656855603,1499995.1862232015
2024-02-24,0.053309779503207796,9.385325544098333,3499990.561364676,1.4043263983970366e-07,3.748976798738935,1499996.2510230595
2024-02-25,0.053309218069935306,7.309306622256396,3499992.637384159,1.40430263191162e-07,2.919708960585336,1499997.0802908975
2024-02-26,0.05330878082884023,5.692499525385307,3499994.2541916934,1.4042841228114546e-07,2.2738737896340595,1499997.7261260683
2024-02-27,0.05330844030729169,4.4333276743178605,3499995.5133638848,1.4042697080654524e-07,1.7708964002566847,1499998.2291034576
2024-02-28,0.05330817511011671,3.4526827773875977,3499996.494009047,1.4042584819429924e-07,1.3791768931860144,1499998.620822965
2024-02-29,0.05330796857504151,2.6889549355169398,3499997.2577370955,1.4042497390831186e-07,1.074105124124055,1499998.925894734
2024-03-01,0.05330780772573719,2.094162420342249,3499997.852529771,1.4042429301673088e-07,0.836514738369195,1499999.1634851196
2024-03-02,0.053307682456357634,1.630936977564705,3499998.3157553393,1.4042376273949796e-07,0.6514789462355989,1499999.3485209118
2024-03-03,0.053307584896591854,1.2701763441056202,3499998.6765160705,1.4042334976024157e-07,0.5073728179764471,1499999.49262704
2024-03-04,0.05330750891701965,0.9892154035992629,3499998.957477087,1.4042302813221288e-07,0.39514274951526096,1499999.6048571083
2024-03-05,0.05330744974407949,0.7704025606007407,3499999.1762899896,1.4042277764829678e-07,0.30773779334783596,1499999.6922620644
2024-03-06,0.05330740366014139,0.599990754670237,3499999.346701842,1.4042258257132513e-07,0.23966667276507478,1499999.760333185
2024-03-07,0.05330736776991831,0.46727374399249505,3499999.4794188887,1.4042243064523527e-07,0.1866527693142641,1499999.8133470886
2024-03-08,0.05330733981858053,0.36391355434683925,3499999.5827791058,1.40422312325108e-07,0.14536547150588527,1499999.8546343865
2024-03-09,0.0533073180500452,0.28341647633824113,3499999.663276206,1.4042222017728036e-07,0.1132108613106503,1499999.8867889969
2024-03-10,0.05330730109667989,0.2207252175282394,3499999.7259674817,1.404221484124435e-07,0.08816879887465029,1499999.9118310593
2024-03-11,0.05330728789337455,0.17190116038910302,3499999.774791552,1.4042209252189668e-07,0.06866600011436264,1499999.9313338578
2024-03-12,0.05330727761062084,0.1338769037559565,3499999.8128158194,1.4042204899426345e-07,0.053477189137866664,1499999.9465226687
2024-03-13,0.05330726960239798,0.10426355446954247,3499999.842429177,1.4042201509488703e-07,0.041648120692847734,1499999.9583517374
2024-03-14,0.05330726336558299,0.08120063388953534,3499999.865492103,1.40421988694009e-07,0.03243562517263432,1499999.9675642329
2024-03-15,0.053307258508342156,0.06323919484497786,3499999.883453547,1.4042196813296763e-07,0.025260919567847206,1499999.9747389385
2024-03-16,0.05330725472551459,0.04925079370700759,3499999.897441952,1.404219521199944e-07,0.019673246274368627,1499999.9803266118
2024-03-17,0.05330725177944327,0.03835660684042468,3499999.9083361416,1.4042193964906962e-07,0.015321558594491975,1499999.9846782994
2024-03-18,0.05330724948503792,0.029872195119144483,3499999.916820556,1.4042192993669278e-07,0.011932456873121952,1499999.9880674013
2024-03-19,0.0533072476981507,0.023264518875964167,3499999.9234282337,1.4042192237267578e-07,0.00929301808210556,1499999.99070684
2024-03-20,0.053307246306521075,0.01811845360309732,3499999.9285743004,1.404219164818118e-07,0.007237420488614917,1499999.9927624376
2024-03-21,0.053307245222717375,0.014110688390506543,3499999.9325820664,1.404219118939962e-07,0.005636517365062708,1499999.9943633408
2024-03-22,0.05330724437864883,0.010989432559754129,3499999.935703323,1.4042190832099623e-07,0.0043897307880052475,1499999.9956101272
2024-03-23,0.05330724372128769,0.008558596437534918,3499999.93813416,1.4042190553834157e-07,0.003418732636090233,1499999.9965811253
2024-03-24,0.053307243209333464,0.006665456162684446,3499999.9400273007,1.4042190337120428e-07,0.0026625172881598333,1499999.9973373406
