date,IA,IC,SA,RA,SC,RC
2024-01-01,1,1,3499999,0,1499999,0
2024-01-02,1,1,3499998,0,1499998,0
2024-01-03,2,2,3499997,1,1499997,1
2024-01-04,3,3,3499996,2,1499995,2
2024-01-05,4,4,3499994,3,1499992,3
2024-01-06,5,6,3499991,4,1499989,5
2024-01-07,7,9,3499986,6,1499983,7
2024-01-08,10,13,3499980,9,1499976,11
2024-01-09,15,19,3499972,13,1499965,16
2024-01-10,21,27,3499959,19,1499949,24
2024-01-11,31,39,3499942,28,1499926,35
2024-01-12,44,56,3499916,40,1499893,51
2024-01-13,63,80,3499880,58,1499847,73
2024-01-14,90,115,3499828,83,1499780,105
2024-01-15,128,165,3499753,119,1499684,151
2024-01-16,184,236,3499646,170,1499547,217
2024-01-17,263,338,3499493,244,1499350,312
2024-01-18,377,484,3499274,349,1499068,448
2024-01-19,540,693,3498960,500,1498665,642
2024-01-20,773,993,3498511,717,1498088,920
2024-01-21,1107,1421,3497867,1027,1497261,1318
2024-01-22,1584,2033,3496946,1470,1496079,1887
2024-01-23,2267,2908,3495628,2105,1494390,2702
2024-01-24,3242,4154,3493744,3014,1491979,3867
2024-01-25,4633,5928,3491055,4312,1488542,5530
2024-01-26,6613,8445,3487220,6167,1483653,7901
2024-01-27,9424,12001,3481763,8813,1476723,11275
2024-01-28,13400,16995,3474021,12579,1466944,16062
2024-01-29,18991,23948,3463084,17925,1453229,22822
2024-01-30,26793,33516,3447722,25485,1434167,32317
2024-01-31,37565,46464,3426318,36117,1407995,45542
2024-02-01,52214,63586,3396828,50958,1372657,63757
2024-02-02,71734,85528,3356798,71467,1326003,88470
2024-02-03,97049,112482,3303525,99426,1266183,121336
2024-02-04,128729,143793,3234394,136876,1192261,163946
2024-02-05,166624,177611,3147436,185940,1104908,217481
2024-02-06,209483,210848,3042001,248516,1006860,282292
2024-02-07,254790,239658,2919338,325872,902789,357553
2024-02-08,298981,260411,2782765,418253,798426,441163
2024-02-09,338087,270739,2637287,524626,699266,529995
2024-02-10,368589,270129,2488727,642684,609437,620434
2024-02-11,388141,259806,2342729,769129,531196,708998
