date,IA,IC,SA,RA,SC,RC
2024-01-01,1,1,3499999,0,1499999,0
2024-01-02,1,1,3499998,0,1499998,0
2024-01-03,2,2,3499997,1,1499997,1
2024-01-04,3,3,3499996,2,1499995,2
2024-01-05,4,4,3499994,3,1499992,3
2024-01-06,5,6,3499991,4,1499989,5
2024-01-07,7,9,3499986,6,1499983,7
2024-01-08,10,13,3499980,9,1499976,11
2024-01-09,15,19,3499972,13,1499965,16
2024-01-10,21,27,3499959,19,1499949,24
2024-01-11,31,39,3499942,28,1499926,35
2024-01-12,44,56,3499916,40,1499893,51
2024-01-13,63,80,3499880,58,1499847,73
2024-01-14,90,115,3499828,83,1499780,105
2024-01-15,128,165,3499753,119,1499684,151
2024-01-16,184,236,3499646,170,1499547,217
2024-01-17,263,338,3499493,244,1499350,312
2024-01-18,377,484,3499274,349,1499068,448
2024-01-19,540,693,3498960,500,1498665,642
2024-01-20,773,993,3498511,717,1498088,920
2024-01-21,1107,1421,3497867,1027,1497261,1318
2024-01-22,1584,2033,3496946,1470,1496079,1887
2024-01-23,2267,2908,3495628,2105,1494390,2702
2024-01-24,3242,4154,3493744,3014,1491979,3867
2024-01-25,4633,5928,3491055,4312,1488542,5530
2024-01-26,6613,8445,3487220,6167,1483653,7901
2024-01-27,9424,12001,3481763,8813,1476723,11275
2024-01-28,13400,16995,3474021,12579,1466944,16062
2024-01-29,18991,23948,3463084,17925,1453229,22822
2024-01-30,26793,33516,3447722,25485,1434167,32317
2024-01-31,37565,46464,3426318,36117,1407995,45542
2024-02-01,52214,63586,3396828,50958,1372657,63757
2024-02-02,71734,85528,3356798,71467,1326003,88470
2024-02-03,97049,112482,3303525,99426,1266183,121336
2024-02-04,128729,143793,3234394,136876,1192261,163946
2024-02-05,166624,177611,3147436,185940,1104908,217481
2024-02-06,209483,210848,3042001,248516,1006860,282292
2024-02-07,254790,239658,2919338,325872,902789,357553
2024-02-08,298981,260411,2782765,418253,798426,441163
2024-02-09,338087,270739,2637287,524626,699266,529995
2024-02-10,368589,270129,2488727,642684,609437,620434
2024-02-11,388141,259806,2342729,769129,531196,708998
2024-02-12,395911,242105,2203958,900131,465078,792817
2024-02-13,392482,219720,2075695,1031822,410398,869881
2024-02-14,379469,195127,1959813,1160718,365819,939054
2024-02-15,359035,170279,1856989,1283976,329780,999940
2024-02-16,333471,146534,1767023,1399506,300768,1052698
2024-02-17,304895,124715,1689148,1505957,277440,1097845
2024-02-18,275083,105230,1622284,1602633,258668,1136101
2024-02-19,245416,88196,1565221,1689363,243532,1168271
2024-02-20,216888,73541,1516740,1766372,231296,1195164
2024-02-21,190156,61083,1475688,1834156,221374,1217543
2024-02-22,165604,50590,1441011,1893385,213306,1236104
2024-02-23,143407,41815,1411772,1944821,206725,1251460
2024-02-24,123594,34513,1387151,1989255,201343,1264144
2024-02-25,106088,28462,1366439,2027473,196930,1274608
2024-02-26,90751,23461,1349028,2060222,193304,1283235
2024-02-27,77406,19336,1334399,2088195,190318,1290346
2024-02-28,65861,15939,1322114,2112026,187854,1296207
2024-02-29,55920,13143,1311800,2132280,185818,1301039
2024-03-01,47395,10843,1303143,2149463,184133,1305024
2024-03-02,40108,8950,1295878,2164014,182737,1308313
2024-03-03,33897,7393,1289783,2176321,181579,1311028
2024-03-04,28616,6111,1284669,2186715,180617,1313272
2024-03-05,24134,5055,1280380,2195486,179817,1315127
2024-03-06,20337,4185,1276782,2202881,179152,1316663
2024-03-07,17126,3468,1273765,2209110,178598,1317935
2024-03-08,14413,2875,1271234,2214353,178137,1318988
2024-03-09,12123,2385,1269112,2218765,177752,1319863
2024-03-10,10192,1981,1267333,2222475,177431,1320588
2024-03-11,8565,1646,1265841,2225593,177163,1321191
2024-03-12,7196,1368,1264590,2228214,176940,1321692
2024-03-13,6043,1138,1263542,2230415,176753,1322108
2024-03-14,5074,948,1262663,2232263,176597,1322455
2024-03-15,4260,789,1261926,2233815,176467,1322744
2024-03-16,3575,658,1261308,2235117,176358,1322984
2024-03-17,3000,548,1260790,2236210,176267,1323185
2024-03-18,2517,457,1260356,2237127,176191,1323352
2024-03-19,2111,382,1259992,2237897,176127,1323491
2024-03-20,1771,318,1259687,2238542,176074,1323607
2024-03-21,1485,266,1259431,2239083,176030,1323705
2024-03-22,1246,222,1259217,2239537,175992,1323786
2024-03-23,1044,186,1259037,2239918,175961,1323853
2024-03-24,876,155,1258887,2240237,175935,1323910
2024-03-25,734,130,1258761,2240505,175913,1323957
2024-03-26,616,108,1258655,2240729,175895,1323997
