date,S,I,R
1980-01-01,99899000,1000,100000
1980-01-08,99896251,2220,101530
1980-01-15,99890173,4906,104920
1980-01-22,99876891,10742,112367
1980-01-29,99848177,23232,128591
1980-02-05,99787382,49342,163277
1980-02-12,99661208,102571,236221
1980-02-19,99407089,207517,385394
1980-02-26,98911424,406245,682332
1980-03-04,97985461,763829,1250710
1980-03-11,96345616,1363563,2290821
1980-03-18,93641554,2275492,4082953
1980-03-25,89560794,3492195,6947011
1980-04-01,84058354,4823563,11118084
1980-04-08,77604178,5887799,16508023
1980-04-15,70989715,6343158,22667127
1980-04-22,64958903,6093109,28947988
1980-04-29,60025086,5303829,34671085
1980-05-06,56285915,4251594,39462492
1980-05-13,53613931,3199699,43186369
1980-05-20,51746692,2321138,45932169
1980-05-27,50478956,1628386,47892658
1980-06-03,49633922,1116608,49249470
1980-06-10,49073503,752598,50173898
1980-06-17,48706358,501414,50792228
1980-06-24,48465671,331276,51203053
1980-07-01,48308491,217929,51473581
1980-07-08,48205488,143114,51651398
1980-07-15,48137645,94004,51768350
1980-07-22,48093013,62095,51844892
1980-07-29,48062994,41133,51895872
1980-08-05,48042892,27514,51929595
1980-08-12,48029121,18549,51952330
1980-08-19,48019632,12653,51967715
1980-08-26,48012995,8745,51978260
1980-09-02,48008260,6123,51985618
1980-09-09,48004857,4358,51990785
1980-09-16,48002348,3148,51994504
1980-09-23,48000477,2314,51997210
1980-09-30,47999060,1731,51999210
1980-10-07,47997961,1316,52000723
1980-10-14,47997100,1018,52001882
1980-10-21,47996414,802,52002784
1980-10-28,47995857,641,52003502
1980-11-04,47995399,521,52004081
1980-11-11,47995018,429,52004553
1980-11-18,47994697,358,52004945
1980-11-25,47994422,303,52005275
1980-12-02,47994187,258,52005555
1980-12-09,47993983,222,52005795
1980-12-16,47993806,193,52006001
1980-12-23,47993651,168,52006181
1980-12-30,47993516,146,52006338
1981-01-06,47993398,128,52006475
1981-01-13,47993295,111,52006594
1981-01-20,47993206,96,52006698
1981-01-27,47993130,83,52006787
1981-02-03,47993065,71,52006864
1981-02-10,47993010,61,52006930
1981-02-17,47992964,51,52006986
1981-02-24,47992926,42,52007032
1981-03-03,47992896,34,52007070
1981-03-10,47992872,28,52007101
1981-03-17,47992853,22,52007125
1981-03-24,47992838,17,52007145
1981-03-31,47992827,13,52007160
1981-04-07,47992819,10,52007171
1981-04-14,47992813,7,52007180
1981-04-21,47992809,5,52007186
1981-04-28,47992806,4,52007190
