date,OT,S_child,I_child,R_child,S_adult,I_adult,R_adult,S_total,I_total,R_total
1990-01-01,40.0,1499980.0,20.0,0.0,3499980.0,20.0,0.0,4999960.0,40.0,0.0
1990-01-08,655.0370790468813,1499463.6294647271,368.26508232416427,168.1054529491639,3499579.913630875,286.77199672271706,133.45269165053588,4999043.543095602,655.0370790468813,301.55814459969974
1990-01-15,10629.363018299098,1491113.962153785,5944.92754427847,2941.1103019373,3492880.5267797285,4684.435474020628,2435.1760654975724,4983994.488933513,10629.363018299098,5376.286367434872
1990-01-22,145669.78303680615,1377145.1247862626,80073.75564570917,42781.1195680294,3399733.6115857377,65596.02739109697,34670.49934241073,4776878.736372001,145669.78303680615,77451.61891044013
1990-01-29,903423.4994505573,705227.4475326979,421004.00990315614,373768.5425641473,2661960.9555157134,482419.48954740114,355619.6932561303,3367188.4030484115,903423.4994505573,729388.2358202776
1990-02-05,1103987.811020825,179574.49006982346,342355.6118941839,978069.8980359945,1412869.7075996073,761632.199126641,1325498.2315929967,1592444.1976694306,1103987.811020825,2303568.1296289912
1990-02-12,571443.6732187276,79521.39361971279,127968.82431887022,1292509.7820614185,869261.6681255173,443474.8488998573,2187263.6212938684,948783.0617452301,571443.6732187276,3479773.403355287
1990-02-19,233608.07828435398,57410.68721861004,41597.905702229174,1400991.4070791623,692115.4569070732,192010.1725821248,2615874.508830045,749526.1441256832,233608.07828435398,4016865.9159092074
1990-02-26,87024.86761311191,51185.67638236246,13114.592061720168,1435699.7315559182,633975.7719339506,73910.27555139175,2792114.090833901,685161.4483163131,87024.86761311191,4227813.822389819
1990-03-05,31669.45684060433,49265.60110187337,4182.819359722635,1446551.5795384054,614126.0511327992,27486.637480881695,2858387.449705564,663391.6522346726,31669.45684060433,4304939.029243969
1990-03-12,11389.489306514957,48655.80486020372,1324.206341665899,1450019.988798132,607027.4162051134,10065.282964849059,2882907.4391492824,655683.2210653172,11389.489306514957,4332927.427947414
1990-03-19,4018.8305586564757,48451.695645158456,407.14377462858636,1451141.160580215,604676.1538200758,3611.686784027889,2891712.297715142,653127.8494652342,4018.8305586564757,4342853.4582953565
1990-03-26,1399.909325776598,48375.75239458767,133.91492927286598,1451490.332676143,603912.2807934344,1265.994396503732,2894821.8631293084,652288.033188022,1399.909325776598,4346312.195805451
1990-04-02,490.4614900842007,48357.73603731771,43.808738499516636,1451598.455224186,603638.6999733456,446.6527515846841,2895914.785594315,651996.4360106633,490.4614900842007,4347513.2408185005
1990-04-09,166.11368109168677,48351.84731313332,12.56930277776899,1451635.583384092,603551.1263552413,153.54437831391778,2896295.467585691,651902.9736683746,166.11368109168677,4347931.050969783
1990-04-16,38.31258744875851,48350.31721648306,2.1530715204843234,1451647.529711998,603525.8879766032,36.15951592827418,2896438.090826714,651876.2051930863,38.31258744875851,4348085.620538712
1990-04-23,10.028925925740012,48349.90253195446,1.1440322253398567,1451648.9534358212,603525.3822650054,8.884893700400156,2896465.8711605384,651875.2847969598,10.028925925740012,4348114.824596359
1990-04-30,3.033624941825295,48350.02382361957,0.11679234860589312,1451649.859384033,603525.0504003593,2.916832593219402,2896472.17108629,651875.0742239789,3.033624941825295,4348122.030470323
